Metric Category,Metric Name,Value
Broker,CPU Min (%),1.87354
Broker,CPU Max (%),15.72505
Broker,CPU Avg (%),6.03548
Broker,CPU Variance,12.38427
Broker,Memory Min (MB),51.28520
Broker,Memory Max (MB),51.35605
Broker,Memory Avg (MB),51.32423
Broker,Memory Variance,0.00057
Messaging,Latency Min (ms),-2.09808
Messaging,Latency Max (ms),373.18468
Messaging,Latency Avg (ms),73.08047
Messaging,Latency Variance,3479.59310
Messaging,Throughput (msgs/sec),99.17336
Messaging,Avg Header Size (bytes),27.00000
Messaging,Data Messages,17516
Messaging,Non-Data Messages,272
Purpose Correctness,Total Subscribers,1
Purpose Correctness,Total Valid Messages,17516
Purpose Correctness,Total Invalid Messages,0
Purpose Correctness,Total Expected,17516
Purpose Correctness,Total Received,17516
Purpose Correctness,Total Rejected,0
Purpose Correctness,Avg False Accept Rate,0.0000
Purpose Correctness,Avg False Reject Rate,0.0000
OP Correctness,Total Operational Requests,136
OP Correctness,Total Expected Responses,136
OP Correctness,Total Actual Responses,136
OP Correctness,Total Relevant Requests Recieved,136
OP Correctness,Total Irrelevant Requests Recieved,0
OP Correctness,Avg Coverage,1.0000
OP Correctness,Avg Leakage,0.0000
OP Correctness,Avg Completion,1.0000
